alpha,method,dataset,stream_size,mean,std
0.5,Crane,Lkml,800000,0.8370917226918821,0.2493217878820089
0.5,Crane,CAIDA2018,2000000,1.4142599555847035,0.3619571684617345
0.5,Crane,CAIDA2018,8000000,4.5537813862111225,1.2922911744587808
0.5,Crane,CAIDA2018,16000000,8.659169022941025,2.4888857971278795
0.5,Crane,CAIDA2018,27100000,14.017409545859255,4.072906951237231
0.5,Crane,WiKiTalk,2000000,2.4009383346536572,0.9467053350776142
0.5,Crane,WiKiTalk,8000000,10.328607603722237,3.180990078968407
0.5,Crane,WiKiTalk,16000000,22.381431451549936,6.83427019145337
0.5,Crane,WiKiTalk,25000000,35.89466872639276,10.656144293678944
0.5,Crane,StackOverflow,2000000,3.780983607687849,1.5680906361506268
0.5,Crane,StackOverflow,8000000,16.00446196604624,5.095334239404452
0.5,Crane,StackOverflow,16000000,31.716739735842452,9.665284196113848
0.5,Crane,StackOverflow,63500000,103.6727435512864,30.424199212463243
0.5,TCM,Lkml,20000,1.3684072103822085,0.0
0.5,TCM,Lkml,40000,2.6875477745374536,0.0
0.5,TCM,Lkml,80000,5.108239442113176,0.0
0.5,TCM,Lkml,200000,13.224611602287734,1.7763568394002505e-15
0.5,TCM,Lkml,400000,24.978868611964018,0.0
0.5,TCM,Lkml,800000,47.76947272147529,0.0
0.5,TCM,CAIDA2018,2000000,42.18656128696815,0.0
0.5,TCM,CAIDA2018,8000000,167.66752515680838,0.0
0.5,TCM,CAIDA2018,16000000,337.55213550617503,0.0
0.5,TCM,CAIDA2018,27100000,574.6907767076628,0.0
0.5,TCM,WiKiTalk,2000000,197.18594216380083,0.0
0.5,TCM,WiKiTalk,8000000,994.6230667742726,0.0
0.5,TCM,WiKiTalk,16000000,2369.3831852524563,0.0
0.5,TCM,WiKiTalk,25000000,4170.102910242268,0.0
0.5,TCM,StackOverflow,2000000,376.0229045268259,0.0
0.5,TCM,StackOverflow,8000000,1568.5628192288373,0.0
0.5,TCM,StackOverflow,16000000,3245.6219664646105,0.0
0.5,TCM,StackOverflow,63500000,11869.608422684754,0.0
0.5,GSS,Lkml,20000,5.106649777050338,0.348590079728564
0.5,GSS,Lkml,40000,8.777362576375685,0.6441944430877126
0.5,GSS,Lkml,80000,23.79830414338448,14.181929224866328
0.5,GSS,Lkml,200000,33.335331443857434,1.9793162479417217
0.5,GSS,Lkml,400000,91.1849514667338,59.16876945578642
0.5,GSS,Lkml,800000,172.18745812698722,114.22350531973562
0.5,GSS,CAIDA2018,2000000,349.75544652929915,230.90147147540105
0.5,GSS,CAIDA2018,8000000,1242.134882701653,826.8020190808844
0.5,GSS,CAIDA2018,16000000,2312.6171688418303,1541.68374523892
0.5,GSS,CAIDA2018,27100000,3747.989563835307,2500.509545358344
0.5,GSS,WiKiTalk,2000000,383.6954644405308,2.8018927995634346
0.5,GSS,WiKiTalk,8000000,1750.39325461227,20.688583926428347
0.5,GSS,WiKiTalk,16000000,4020.30080583606,62.095694240045155
0.5,GSS,WiKiTalk,25000000,6879.755591612496,88.463106135193
0.5,GSS,StackOverflow,2000000,774.9860884170076,564.4878385238161
0.5,GSS,StackOverflow,8000000,3112.5024437834563,2271.281189765146
0.5,GSS,StackOverflow,16000000,6354.43868166651,4592.975892191581
0.5,GSS,StackOverflow,63500000,24972.563857840647,16311.496764217518
0.5,Auxo,Lkml,20000,2.5487868909009253,0.0229317238781528
0.5,Auxo,Lkml,40000,4.9711825212189185,0.0136188105839936
0.5,Auxo,Lkml,80000,8.923148632885434,0.0350075476072707
0.5,Auxo,Lkml,200000,23.025145459351428,0.0534854718723332
0.5,Auxo,Lkml,400000,43.33384937550922,0.0616991003876218
0.5,Auxo,Lkml,800000,84.18312203566524,0.0717200692494103
0.5,Auxo,CAIDA2018,2000000,139.30290249221972,0.4694726501627944
0.5,Auxo,CAIDA2018,8000000,504.7137567335341,0.3515703359922587
0.5,Auxo,CAIDA2018,16000000,973.9986425224008,0.8723530560921652
0.5,Auxo,CAIDA2018,27100000,1614.7155154573925,1.5305234308052278
0.5,Auxo,WiKiTalk,2000000,284.3380584056848,0.1412430027208594
0.5,Auxo,WiKiTalk,8000000,1195.4141497941196,0.448250473642524
0.5,Auxo,WiKiTalk,16000000,2534.574404460705,0.2661729620744786
0.5,Auxo,WiKiTalk,25000000,4122.098834776797,0.3138060595773663
0.5,Auxo,StackOverflow,2000000,460.5672105052201,0.0164381883189112
0.5,Auxo,StackOverflow,8000000,1852.603247084496,0.0360702086633676
0.5,Auxo,StackOverflow,16000000,3718.1086338867376,0.0094655674587468
0.5,Auxo,StackOverflow,63500000,12049.547478391669,0.1577040154647995
0.5,HourglassSketch,Lkml,20000,0.6144664313252799,0.1650396242435844
0.5,HourglassSketch,Lkml,40000,2.85409595551194,2.885740503712331
0.5,HourglassSketch,Lkml,80000,3.0739742883699392,2.1665526140995923
0.5,HourglassSketch,Lkml,200000,6.215947345330365,1.6339007284605354
0.5,HourglassSketch,Lkml,400000,3.8894188246132986,0.0993577038588609
0.5,HourglassSketch,Lkml,800000,9.736323414332723,0.181237382311629
0.5,HourglassSketch,CAIDA2018,2000000,143.39338813690588,28.42538031209589
0.5,HourglassSketch,CAIDA2018,8000000,84.62589128700395,1.2621516171061058
0.5,HourglassSketch,CAIDA2018,16000000,282.79448844654206,2.743102726324093
0.5,HourglassSketch,CAIDA2018,27100000,698.4479674759912,6.811635052629449
0.5,HourglassSketch,WiKiTalk,2000000,75.58775155649823,0.4525851177096495
0.5,HourglassSketch,WiKiTalk,8000000,665.2393720665782,3.76677146376614
0.5,HourglassSketch,WiKiTalk,16000000,2151.0140402680145,13.273524792939025
0.5,HourglassSketch,WiKiTalk,25000000,3841.040134610024,22.999453308861476
0.5,HourglassSketch,StackOverflow,2000000,87.09139805365095,0.1500369027324023
0.5,HourglassSketch,StackOverflow,8000000,699.3695599032142,0.9922775167558204
0.5,HourglassSketch,StackOverflow,16000000,1947.4019300301245,1.4642280357961723
0.5,HourglassSketch,StackOverflow,63500000,6628.01744998909,4.17994828821818
0.5,Mayfly,Lkml,20000,13.61700989666334,6.748961213961683
0.5,Mayfly,Lkml,40000,17.45769829042093,8.81795870882594
0.5,Mayfly,Lkml,80000,34.99594110570682,20.308600415651856
0.5,Mayfly,Lkml,200000,37.568130751432285,21.324032851136515
0.5,Mayfly,Lkml,400000,58.93328468192461,34.671167614745414
0.5,Mayfly,Lkml,800000,107.89030756682382,65.71256364751997
0.5,Mayfly,CAIDA2018,2000000,56.49570328571811,26.603073478095805
0.5,Mayfly,CAIDA2018,8000000,133.7708912231421,49.31070345271607
0.5,Mayfly,CAIDA2018,16000000,208.81138871978965,65.96569567150048
0.5,Mayfly,CAIDA2018,27100000,294.1710562846183,71.04947669405159
0.5,Mayfly,WiKiTalk,2000000,230.20960745392216,132.1216192330672
0.5,Mayfly,WiKiTalk,8000000,429.28031224895074,232.01467495794577
